Timing,Course Name,Class & Program,Room No.,UMS Class  No.,Teacher,Day 
"8:30 AM 
to 
9:45 AM",Information Security and Ethics ,BSCS-8,AUDITORIUM,96020,Dr. Irfan Nabi,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,EVENT HALL,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Islamic Schalory Tradition ,BSCS,MAC-1,96056,Dr. Wahab Suri,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Financial Institutions and Markets,BBA-4,MAC-2,71189,Dr. Saqib Sharif,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Institutional Economics,ECO - Elective,MAC-3,71273,Ms. Javeria Younas Abbas,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Fundamentals of Supply Chain Management,MGMT Elective,MAC-4,71185,Mr. Adnan Ahmad,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Pakistan History,BSAF,MAC-5,71204,Dr. Jaffar Ahmed,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Integrated Marketing Communication,MKT-E,MAC 6,71258,Ms. Kiran Kohati,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Production and Operations Management,BBA-6,MAC-7,71186,Mr. Sajjad H. Mahesri,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Statistical Modeling ,BSMT - 4,MAC-8,96104,Dr. Javed Iqbal,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MAS-1,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MAS-2,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Contemporary Issues in Global Economics,BSECO - 8,MAV-1,71276,Ms. Shafia Imtiaz,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Statistical Inferences ,BSECO - 4,MAV-2,71277,Dr. Amir Bashir,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-09,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Chinese -II,BBA-6,MCC-10,71192,Mr. Mirza Qaisar Ahmed Baig,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-11,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BBA-2,MCC12,71170,Mr. Farhan Shaukut ,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BBA-2,MCC-13,71169,Ms Sabina Qazi,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-14,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Chinese-1,BSEM-BS-Eco NS,MCC-15,95984,Ms.Sobia Akber,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Essential Software ,BSECO - 4,MCL-1,71278,Dr. Abdul Majid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCL-2,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM","Computer Architecture and Assembly Language (Lab) Only Wednesday 
from 8:30 to 9:45 am & 10:00 to 11:15 am ",BSCS-4,MCL-3,71196,Dr. Salman Zafar,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Introduction to Text Analytics - Mega,CS Elective,MCS-3,96110 - 96111,Dr. Sajjad Haider ,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Data Manipulation & Visualization,MKT-E,MCS-4,71239,Mr. Asad Sajjid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Entrepreneurship,BBA-6,MCS-5,71240,Mr. Usman Nazir,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,MSCS/DS,MTC 16,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MTC-17,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Philosophy Logic and Ethics(PLE),BSSS-4,MTC-18,71183,Dr. Amana Raquib,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",German-1,All Program,MTC-19,95998,Mr. Irfan Khan,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Spanish-II,All Program,MTC-20,90091,Inés Mena Gómez de Merodio,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSCS-2,MTC-20A,71205,Dr. Nadya Chishty,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-21,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-22,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",PHILOSOPHY,,MTC-23,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-24,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSAF,MTC 25,71201,Ms. Samina Wahid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-26,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSECO - 2,MTC-27,71282,Ms. Shumaila Omar,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-28,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs ,,MTC-29,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTS 6,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Advanced Auditing,BSAF-8,MTS 7,71202,Mr. Abdul Basit,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,Reserved for MSCS/DS,MTS 8,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM","Programming for Finance (Only Monday 8:30 to 9:45 & 10:00 to 11:15)
(Only Wednesday 8:30 to 9:45 & 10:00 to 11:15)",BSAF,MTL-4,71203 - 71200,Dr. Adnan Haider,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Information Security and Ethics ,BSCS-8,AUDITORIUM,96063,Dr. Irfan Nabi,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Islamic Scholarly Tradition/Islamic Scholarly Tradition,BSSS-4/BSEM-2(MEGA),EVENT HALL,71190/71191,Dr. Moiz Hassan ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Clinical Psychology   ,BSSS - 6/8 Elective,MAC-1,71188,Dr. Saima Bint e Saif,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Islamic Scholarly Tradition,BSSS-4,MAC-2,71187,Dr. Amana Raquib,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BBA-2,MAC-3,71171,Ms. Tehmina Iftikhar Qureshi ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BBA-2,MAC-4,71172,Ms.Tazeen Erum ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Pakistan History,BSAF,MAC-5,96128,Dr. Jaffar Ahmed,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Pakistan History ,BSECO - 2,MAC 6,71283,Ms. Ramsha Siddiqui,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",production,BBA-6,MAC-7,96107,Mr. Sajjad H. Mahesri,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Business Mathematics and Linear Algebra,BBA-4,MAC-8,71242,Ms. Samreen Zaman,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",,,,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Resewrved for Graduate Programs ,,MAS-2,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Contemporary Issues in Global Economics,BSECO - 8,MAV-1,71284,Ms. Shafia Imtiaz,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Macroeconomic Theory,BSECO/EM - 6,MAV-2,71285,Dr. Wali Ullah,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Arabic -II,BBA-6,MCC-09,71244,Mr. Syed Farid Iqbal,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Chinese -II (Lab) Monday Only ,BBA-6,MCC-10,71192,Mr. Mirza Qaisar Ahmed Baig,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BSAF,MCC-11,71212,Ms. Maria Haqqani,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BSAF,MCC12,71213,Ms.Irum Iqbal Hussain,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BSAF,MCC-13,71214,Ms. Maria Hassan,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",History of Art,BSSS-6/8 ELECTIVE,MCC-14,71197,Ms. Nageen Shaikh,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM","Industrial Economics and Business Strategy
",ECO - Elective,MCC-15,96025,Dr. Amir Jahan Khan ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Essential Software ,BSECO - 4,MCL-1,71286,Dr. Abdul Majid,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",,,MCL-2,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",,,,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Corporate Finance,FIN-Elective,MCS-3,71215,Dr. Sana Tauseef,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Introduction to Trade Marketing,MKT-E,MCS-4,96121,Mr. Adnan Ahmed,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Entrepreneurship,BBA-6,MCS-5,71248,Mr. Usman Nazir,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,MSCS/DS,MTC 16,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,,MTC-17,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM","Media Aesthetics and History: Film, TV and Digital Media",BSSS-6 Major Core,MTC-18,71198,Ms. Mariam Aziz,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Advertising  ,Marketing Elective,MTC-19,75356,Ms. Kiran Sardar Kohati (TBA),Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Differential Geometry,BSMT - 4,MTC-20,96125,Dr. Danish Ali ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Spanish-II(Lab Only Monday) Spanish-II(Lab Only Wednesday),All Program,MTC-20A,90091/90092,Inés Mena Gómez de Merodio,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BSAF,MTC-21,71216,Ms. Samina Wahid,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Creative Writing,BSSS6/8 Elective,MTC-22,71193,Dr. Nadya Mujahid Chishty,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Chinese-1(Lab Only Monday),BSEM-BS-Eco NS,MTC-23,95984,Ms. Sobia Akber,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Derivatives (only wednesday 10:00 to 11:15 & 11:30 - 12:45),FIN-Elective,MTC-24,71217,Mr. Arif Irfanullah,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Advanced Financial Reporting,"AF-8
",MTC 25,71218,Dr. Sharjeel Hasnie,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",International Financial Management,FIN-Elective,MTC-26,71219,"Dr. Fawad Ahmad
",Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BSECO - 2,MTC-27,71288,Ms. Shumaila Omar,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Computer Architecture and Assembly Language ,BSCS-4,MTC-28,75903,Mr. Zain Uddin,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,,MTC-29,,,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Ethics In Ccorporate Society,MGT-E,MTS 6,71259,Dr. Amer Iqbal Awan,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Advanced Auditing,BSAF-8,MTS 7,71221,Mr. Abdul Basit,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,Reserved for MSCS/DS,MTS 8,,Dr. Tariq Mahmood ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM","Computer Architecture and Assembly Language (Lab) Only Wednesday 
from 8:30 to 9:45 am & 10:00 to 11:15 am ",BSCS-4,MCL-3,71196,Dr. Salman Zafar,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM","Programming for Finance (Only Monday 8:30 to 9:45 & 10:00 to 11:15)
(Only Wednesday 8:30 to 9:45 & 10:00 to 11:15)",BSAF,MTL-4,71203 - 71200,Dr. Adnan Haider,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",CDC,,,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",CDC,,AUDITORIUM,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved  ,,EVENT HALL,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Financial Institutions and Markets,BBA-4,MAC-1,71263,Dr. Saqib Sharif,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved by SND,,MAC-2,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BBA-2,MAC-3,71173,Ms. Tehmina Qureshi ,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BBA-2,MAC-4,71174,Ms. Tazeen Erum ,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Pakistan History,BSCS,MAC-5,71208,Ms. Parmal Ahmed ,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Data Warehousing,CS Elective,MAC 6,71290,Ms. Abeera Tariq,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Entrepreneurship,BBA-6,MAC-7,71264,Mr. Usman Nazir,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Business Mathematics and Linear Algebra,BBA-4,MAC-8,71265,Ms. Samreen Zaman,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Applied Econometrics II (Lecture),BSECO/EM - 6,MAV-1,71291,Ms. Fatima Sadik,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Applied Econometrics II (Lecture),BSECO/EM - 6,MAV-2,71292,Dr. Wali Ullah,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Arabic -II (lab) Monday Only,BBA-6,MCC-09,71244,Mr. Syed Farid Iqbal,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",German -II,BBA-6,MCC-10,71268,Mr. Irfan Khan,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSAF,MCC-11,71223,Ms. Nassera Naushad,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSAF,MCC12,71224,Ms. Irum Iqbal Hussain,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSAF,MCC-13,71225,Ms. Sara Mazhar,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSCS-2,MCC-14,71294,Ms. Talat Davis,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Introduction to Cryptography,CS Elective,MCC-15,96134,Ms. Tasbhia Fatima,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM","Computer Architecture and Assembly Language (Lab) Only Wednesday
 from 11:30 am to 12:45 pm & 1:00 to 2:15 pm",BSCS-4,MCL-1,75903,Mr. Zain Uddin,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",,,MCL-2,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Essential Software,BSECO - 4,MCL-3,71295,Dr. Abdul Majid,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Urban Planning Theories and Paradigms,BSSS-6/8 ELECTIVE,MCS-3,96077,Dr. Adam Abdullah,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Marketing Issues in Pakistan,BBA-6,MCS-4,71296,Dr. Farah Naz,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved by snd,,MCS-5,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTC 16,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Resreved for graduate program,,MTC-17,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Corporate Law,BSAF-4,MTC-18,71226,Mr. Muhammad Azam,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Research Methods in Psychology,BSSS-6 Major Core,MTC-19,71234,Dr. Ayesha Zia,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Spanish-II,All Program,MTC-20,90092,Inés Mena Gómez de Merodio,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSCS-2,MTC-20A,75906,Ms. Palvashay Sethi,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Dark Side of Marketing  ,MKT-E,MTC-21,71328,Dr. Asim Shabir,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Introduction to Quantum Mechanics,BSMT - 4,MTC-22,96015,Dr. Shabana Nisar,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Spirituality in Islam: Classical Texts and Themes,BSSS-6/8 ELECTIVE,MTC-23,71243,Dr. Moiz Hassan,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Derivatives (only Wednesday 10:00 to 11:15 & 11:30 - 12:45),FIN-Elective,MTC-24,71217,Mr. Arif Irfanullah,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Introduction to Artificial Intelligence,BSCS-4,MTC 25,75911,Dr. Syed Ali Raza,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Management Accounting,BSAF-4,MTC-26,71227,Ms. Mahwish Baasit Hussain,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Ethics In Corporate Society,MGT-E,MTC-27,71302,Dr. Amer Iqbal Awan,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Speech Communication,BSECO - 2,MTC-28,71220,Ms. Maria Hassan,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Resreved for graduate program,,MTC-29,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Advanced Managerial accounting,BSAF,MTS 6,71228,Ms. Zaira Aness,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Microeconomic Theory,BSECO/EM - 4,MTS 7,71289,Dr. Heman Das Lohano,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTS 8,,,Monday/Wednesday 
"11:30 AM 
to 
12:45 PM",Computer Architecture and Assembly Language (Lecture),BSCS-4,MTL-4,71196,Dr. Salman Zafar,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",CDC,,,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Security Analysis,BSAF,AUDITORIUM,75875,Mr. Ammar Habib,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",CDC,,EVENT HALL,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BBA-2,MAC-1,71175,Mr. Farhan Shaukut ,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",International Relations,BSSS-6/8 ELECTIVE,MAC-2,71184,Mr. Sajjad Ahmad,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BBA-2,MAC-3,71177,Ms. Tehmina Qureshi ,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BBA-2,MAC-4,71178,Ms. Tazeen Erum ,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Pakistan History,BSAF-2,MAC-5,71262,Mr. Faseeh Ahmed,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Pakistan History,BSECO - 2,MAC 6,96054,Ms. Parmal Ahmed,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Pakistan History,BSAF,MAC-7,75818,Dr. Moiz Khan,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MAC-8,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Applied Econometrics II (Lecture),BSECO/EM - 6,MAV-1,71293,Ms. Fatima Sadik,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BBA-2,MAV-2,71176,Ms. Aamna Salim Motala,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Arabic - I,NS\EM\ECO,MCC-09,96024,Mr. Syed Farid Iqbal,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",German -II (Lab) Wednesday Only,BBA-6,MCC-10,71268,Mr. Irfan Khan,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",French -II Lab (Mon Only),BBA-6,MCC-11,71303,"Mr. Leroy Johns & 
Ms. Hira Fahad",Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BSAF,MCC12,75802,Ms. Maria Haqqani,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MCC-13,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BSMT - 2,MCC-14,96019,Ms. Talat Davis,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Introduction to Urban Studies,BSSS-4,MCC-15,71246,Dr. Adam Abdullah,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM","Computer Architecture and Assembly Language (Lab) OnlyWednesday
 from 11:30am to 12:45 pm & 1:00 to 2:15 pm",BSCS-4,MCL-1,75903,Mr. Zain Uddin,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",German-1( Lab only Monday),All program,MCL-2,95998,Mr. Irfan Khan,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MCL-3,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Neural Networks and Deep Learning,CS Elective,MCS-3,95896,Dr. Tahir  Syed,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for seminars - IMPORTANT,,MCS-4,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Computer Communication & Networking,BSCS-4,MCS-5,75905,Mr. Waseem Arain,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs,,MTC 16,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs,,MTC-17,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Corporate Law,BSAF-4,MTC-18,75800,Mr. Muhammad Azam,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Pakistan History,BSECO - 2,MTC-19,96000,Dr. Humera Naz,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",French -I ,All Programs,MTC-20,90815,"Ms. Fitia, Ms Rabesalama Leroy Johns",Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Intro. to Literary Studies,BSSS-4,MTC-20A,96113,Dr. Anum Tariq,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Comparative Politics,BSSS-6 Major Core,MTC-21,71251,Dr. Bilal Munshi,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Dark Side of Marketing  ,MKT-E,MTC-22,96174,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MTC-23,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MTC-24,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MTC 25,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Management Accounting,BSAF-4,MTC-26,75801,"Ms. Mahwish Baasit Hussain
",Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MTC-27,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Speech Communication,BSAF,MTC-28,75952,Ms. Shumaila Omar,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",French -I ,All Programs,MTC-29,90822,Mr. Leroy Johns,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Advanced Managerial accounting,BSAF,MTS 6,75901,Ms. Zaira Aness,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Microeconomic Theory,BSECO/EM - 4,MTS 7,96042,Dr. Heman Das Lohano,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs,,MTS 8,,,Monday/Wednesday 
"1:00 PM
 to
 2:15 PM",,,MTL-4,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",,,AUDITORIUM,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",,,EVENT HALL,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Financial Institutions and Markets,BBA-4,MAC-1,71304,Dr. Saqib Sharif,Monday/Wednesday 
