Timing,Course Name,Class & Program,Room No.,UMS Class  No.,Teacher,Day 
"2:30 PM
to 
3:45 PM",Ethnomusicology: Music and Culture,BSSS-6/8 Elective,MAC-2,96106,Dr. Abdul Haq Chang,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Speech Communication,BSEM - 2,MAC-3,71179,Ms. Aamna Salim Motala,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Speech Communication,BBA-2,MAC-4,71180,Mr. Babur Suri ,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Portfolio Management,BBA-2,MAC-5,96007,Dr. Faisal Nazir ,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Portfolio Management,FIN-Elective,MAC 6,75956,Dr. Mujeeb-u-Rehman,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Parallel & Distributed Computing ,BSCS-6,MAC-7,96002,Mr. Zain Uddin,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Business Mathematics and Linear Algebra,BBA-4,MAC-8,71305,Ms. Samreen Zaman,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Applied Econometrics II (Lecture 0000 and Lab 0000) - (Monday only) Applied Econometrics II (Lecture 0000 and Lab 0000) - (Wednesday only),BSECO/EM - 6,MAV-1,71291,Ms. Fatima Sadik,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserve for Graduate Programs,,MAV-2,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Arabic - I (lab) Monday Only,NS\EM\ECO,MCC-09,96024,Mr. Syed Farid Iqbal,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved ,,MCC-10,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",French -II,BBA-6,MCC-11,71303,"Mr. Leroy Johns & 
Ms. Hira Fahad",Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Pakistan History,BSAF-2,MCC12,75957,Dr. Kiran Siddiqui,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Arabic - I,NS\EM\ECO,MCC-13,95999,Mr. Muhammad Naeem,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Arabic - II,BBA-6,MCC-14,71306,Mr. Abu Tahir Siddiq,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",,,MCC-15,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Modern Quantitative Methods (Wednesday Only from 2:30pm to 5:15pm),ECO - Elective,MCL-1,96017,Dr. Muhammad Nasir,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Introduction to Programming ,BSCS-1,MCL-2,75907,Mr. Farhan Siddiqui,Monday/Wednesday 
"2:30 PM
to 
3:45 PM","Computer Communication & Networking (lab) Only Wednesday
from 2:30 to 5:15 pm",BSCS-4,MCL-3,75905,Mr. Waseem Arain,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Introduction to Artificial Intelligence,BSCS-4,MCS-3,71194,Ms. Sumaira Saeed,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",International Business (For BSAF & BBA),BSAF & BBA,MCS-4,71267,Dr. Muhammad Ayaz,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Mathematical Methods,BSMT - 4,MCS-5,96014,Mr. Maqsood Alam,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs,,MTC 16,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs,,MTC-17,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Pakistan History,BSAF-2,MTC-18,96135,Ms. Kishwar Khan,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",,,MTC-19,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Poverty and Income Distribution,ECO - Elective,MTC-20,96171,Dr. Lubna Naz,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",French -I  (Lab) Monday Only ,All Programs,MTC-20A,90815,"Ms. Fitia, Ms Rabesalama  Leroy Johns",Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Arabic-II,BSSS-4,MTC-21,71260,Mr. Abdullah M. Yousuf Khan,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",War: Conceptual Underpinnings,BSSS-6/8 ELECTIVE,MTC-22,71261,Dr. Bilal Munshi,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",From Gestures to Fluency: The Miracle of Language Development,BSSS-6 ELECTIVE,MTC-23,96078,Ms. Maria Haqqani,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Introduction to Urban Sociology,BSSS-4,MTC-24,96079,Mr. Arslan Waheed,Monday/Wednesday 
"2:30 PM
to 
3:45 PM","Freaks, Geeks and Monsters: Exploring the Role of Other in Fiction",BSSS-6/8 ELECTIVE,MTC 25,71266,Dr. Anum Tariq,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Sustainable Urban Development,BSSS-6/8 ELECTIVE,MTC-26,96087,Mr. Soha Macktoom,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Speech Communication,BSEM - 2,MTC-27,96029,Ms. Nassera Naushad,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Social and Political history of medicine,BSSS-6/8 ELECTIVE,MTC-28,71269,Mr. Faseeh Ahmed,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",French -I (Lab) Monday Only ,All Programs,MTC-29,90822,Mr. Leroy Johns,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Arabic - I,All programs,MTS 6,96166,"Mr. Ubaid-ur- Rehman
",Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Foundations to Data Science ,BSEM - 4,MTS 7,71274,Mr. Usman Ali,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs,,MTS 8,,,Monday/Wednesday 
"2:30 PM
to 
3:45 PM",Applied Econometrics II (Lecture 0000 and Lab 0000) - (Lab Wednesday only at 2:30pm Slot),BSECO/EM - 6,MTL-4,71292,Dr. Wali Ullah,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved,,AUDITORIUM,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved,,EVENT HALL,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",International Trade,BSEM - 8,MAC-1,96058,Ms. Aqsa Jawed,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BBA-2,MAC-2,96009,Dr. Faisal Nazir,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Sustainable Urban Development,BSSS-6/8 ELECTIVE,MAC-3,96316,Ms. Soha Macktoom,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Linear Algebra,BSEM - 4,MAC-4,95996,Dr. Muhammad Shahid Qureshi,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Computer Security,CS-Elective,MAC-5,96101,Dr. Faisal Iradat,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Portfolio Management,FIN-Elective,MAC 6,75810,Dr. Mujeeb-u-Rehman,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Theory of Automata,BSCS-4,MAC-7,71206,Dr. Imran Rauf,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",course Principles of Marketing,,MAC-8,96180,Mr. Sheikh Muhammad Irfan,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Post Development & Alternative to Dev.,ECO - Elective,MAV-1,95995,Ms. Sadia Mehboob,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MAV-2,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BSAF,MCC-09,75811,Ms. Aamna Salim Motala,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved fof Management Course Only Wednesday,,MCC-10,Dr Ashar Saleem ,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BSCS-2,MCC-11,96010,Mr. Farhan Shaukut,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM","MS Math under supervising of Dr Danish Ali.
category theory problem solving - Wednesday",,MCC12,,Dr. Danish Ali,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Arabic - I (lab) Monday Only,NS\EM\ECO,MCC-13,95999,Mr. Muhammad Naeem,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Arabic - II (Lab) Monday Only,BBA-6,MCC-14,71306,Mr. Abu Tahir Siddiq,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MCC-15,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM","Modern Quantitative Methods (Wednesday Only from 2:30pm to 5:15pm)
""Parallel & Distrbuted Computing (Lab) Only Monday
from 4:00 to 5:15 & 5:30 to 6:45 pm""

",ECO - Elective / BSCS-6,MCL-1,96017 - 96002,"Dr. Muhammad Nasir 
Mr. Zain Uddin",Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MCL-2,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM","Computer Communication & Networking (lab) Only Wednesday
 from 2:30 to 5:15 pm",BSCS-4,MCL-3,75905,Mr. Waseem Arain,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MCS-3,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Introduction to Marketing Analytics,MKT-E,MCS-4,71307,Ms. Sumayyah Khurshid,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Introduction to Marketing Analytics,MKT-E,MCS-5,71308,Ms. Sumayyah Khurshid,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate Programs,,MTC 16,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate Programs,,MTC-17,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Journalism and Society,BSSS-6/8ELECTIVE,MTC-18,96086,Dr. Amir Hamza Marwan,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BSECO - 2,MTC-19,96031,Ms. Safia Mahmood,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BSCS-2,MTC-20,7510,Mr. Babar Suri,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Pakistan's Foreign Policy,BSSS-6/8 Elective,MTC-20A,75666,Mr. Haider Nizamani,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Arabic- II (Lab only Wednesday),71312,MTC-21,71260,Mr. Abdullah M. Yousuf Khan,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",German - II,BSSS-4,MTC-22,75668,Mr. Irfan Samad Khan,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",SSLAcoursessp24,,MTC-23,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Forensic and Criminal Psychology(4:00pm to 6:45pm),BSSS-6/8 Elective,MTC-24,75667,"Mr. Shameel  Khan
",Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Indian Ocean History,BSSS-6/8 ELECTIVE,MTC 25,75670,Ms. Ramsha Siddiqui,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MTC-26,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Speech Communication,BSCS-2,MTC-27,7809,Ms. Nassera Naushad,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Shakespeare: Antony and Cleopatra.,BSSS Elective,MTC-28,96034,Ms. Talat Davis,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate ,,MTC-29,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Arabic - I (Lab Tuesday Only ),All programs,MTS 6,96166,"Mr. Ubaid-ur- Rehman
",Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",,,MTS 7,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM",Reserved for Graduate Programs,,MTS 8,,,Monday/Wednesday 
"4:00 PM
 to 
5:15 PM","Introduction to Programming (Lab) Only Wednesday
from 4:00 to 5:15 & 5:30 to 6:45 pm 
",BSCS-1 / BSCS-6,MTL-4,75907,"Mr. Farhan Siddiqui
",Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved,,AUDITORIUM,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved,,EVENT HALL,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC-1,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC-2,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Environmental Economics,ECO - Elective,MAC-3,71301,Dr. Ghamz e Ali,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Islamic Scholary Tradition,BSCS-1,MAC-4,96176,Dr. Wahab Suri,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC-5,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC 6,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC-7,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAC-8,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs Only Wednesday 6:00pm to 9:00pm,,MAV-1,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MAV-2,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC-09,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Management Course Only Wednesday,,MCC-10,,Dr Ashar Saleem ,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC-11,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC12,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC-13,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC-14,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCC-15,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM","Parallel & Distrbuted Computing (Lab) Only Monday
from 4:00 to 5:15 & 5:30 to 6:45 pm",BSCS-6,MCL-1,96002,Mr. M. Zain Uddin,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCL-2,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Essential Software (only Wednesday) 5:30 to 6:45 & 7:00 to 8:15)   ,,MCL-3,96164,Dr. M. Yousuf Tufail,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCS-3,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Dr. Ghamz,,MCS-4,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MCS-5,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate ,Reserved for MSCS/DS,MTC 16,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate ,,MTC-17,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-18,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-19,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-20,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",`,,MTC-20A,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-21,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",German – II (Only Wednesday Lab),BSSS-4,MTC-22,75668,Mr. Irfan Samad Khan,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-23,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Forensic and Criminal Psychology(4:00pm to 6:45pm),BSSS-6/8 Elective,MTC-24,75667,Mr. Shameel  Khan,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC 25,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-26,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-27,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTC-28,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs,,MTC-29,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTS 6,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",,,MTS 7,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Reserved for Graduate Programs,,MTS 8,,,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM",Essential Software (only Monday 5:30 to 6:45 & 7:00 to 8:15)   ,     BSAF ,MTL-4,71300,Dr. M. Yousuf Tufail,Monday/Wednesday 
"5:30 PM
 to
 6:45 PM","Introduction to Programming (Lab) Only Wednesday
from 4:00 to 5:15 & 5:30 to 6:45 pm
 
",BSCS-1 ,MTL-4,75907,"Mr. Farhan Siddiqui
",Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,AUDITORIUM,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,EVENT HALL,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-1,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-2,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-3,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-4,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-5,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC 6,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-7,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAC-8,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate Programs,,MAS-1,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate Programs,,MAS-2,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate Programs Only Wednesday 6:00pm to 9:00pm,,MAV-1,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MAV-2,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC-09,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved fof Management Course Only Wednesday,,MCC-10,,Dr Ashar Saleem,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC-11,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC12,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC-13,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC-14,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCC-15,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCL-1,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCL-2,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCL-3,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCS-3,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCS-4,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MCS-5,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate ,Reserved for MSCS/DS,MTC 16,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate Programs,,MTC-17,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-18,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-19,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-20,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-20A,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-21,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-22,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-23,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-24,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC 25,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-26,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-27,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-28,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTC-29,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTS 6,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",,,MTS 7,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Reserved for Graduate Programs,,MTS 8,,,Monday/Wednesday 
"7:00 PM
 to
 8:15 PM",Essential Software (only Monday 5:30 to 6:45 & 7:00 to 8:15)   ,     BSAF ,MTL-4,71300,Dr. M. Yousuf Tufail,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,AUDITORIUM,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,EVENT HALL,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Corporate Law,BSAF-4,MAC-1,75812,Mr. Rahat Aziz,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Behavioral Finance in Theory and Practice,BSAF,MAC-2,96091,Dr. Fawad Ahmed,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",ProbabilityTheory,BSEM - 4,MAC-3,75950,Dr. Amir Bashir,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MAC-4,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate , MSCS/DS ,MAC-5,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Business Communication (2+1 CH),BBA-4,MAC 6,71309,Ms. Nadia Sayeed,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Analysis of Pakistani Industries,BBA-4,MAC-7,71310,Mr. Masood Siddiqui,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Production and Operations Managemen,BBA-6,MAC-8,71311,Dr. Muhammad Imran,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MAS-1,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MAS-2,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Contemporary Issues in Global Economics,BSECO - 8,MAV-1,75951,Ms. Umema Amin Siddiqi,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Macroeconomic Theory ,BSECO/EM - 4,MAV-1,75958,Dr. Faiz ur Rehman,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCC-09,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Chinese-1,BSEM-BS-Eco NS,MCC-10,95985,Ms. Saher Iqbal,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Introduction to Cryptography,CS Elective,MCC-11,95893,Ms. Tasbiha Fatima,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCC12,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCC-13,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCC-14,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Introduction to DevOps,CS Elective,MCC-15,96112,Mr. Obaid Ur Rehman,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCL-1,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCL-2,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MCL-3,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Analytical Approach to Marketing Decisions,MKT-E,MCS-3,96165,Mr. Fawad Mahdi,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Computer Communication & Networking ,BSCS-4,MCS-4,75912,Ms. Asma Tauqeer,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for MSCS/DS Only Thursday,,MCS-5,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MTC 16,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MTC-17,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Pakistan History,BSAF,MTC-18,75814,Dr. Moiz Khan,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Energy and Environment,BSSS-6/8 ELECTIVE,MTC-19,96081,Dr. Junaid Memon,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Advanced Financial reporting,BSAF,MTC-20,75815,Mr. Naveed Bukhari,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-20A,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Chinese-II,BSSS-4,MTC-21,75982,Ms. Madiha Mukhtar,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-22,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-23,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Introduction to Artificial Intelligence,BSCS-4,MTC-24,75913,Dr. Syed Ali Raza,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC 25,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-26,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-27,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTC-28,,,Tuesday/Thrusday
