Timing,Course Name,Class & Program,Room No.,UMS Class  No.,Teacher,Day 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MTC-29,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTS 6,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTS 7,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs,,MTS 8,,,Tuesday/Thrusday
"8:30 AM 
to 
9:45 AM",,,MTL-4,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM","Design & Analysis of Algorithm - Mega 
",BSCS-6,AUDITORIUM,75914 - 96037,Dr. Jibran Rashid,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM","Information Security and Ethics - Mega (Tentative) 
",BSCS-8,EVENT HALL,"96023 - 96026
96028",Dr. Imran Khan,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Financial Institutions and Markets,BBA-4,MAC-1,71312,Dr. Azima Khan,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Financial Management,BBA-4,MAC-2,71313,Dr. Nauman J. Amin,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",,,MAC-3,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",,,MAC-4,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Business Intelligience,CS Elective,MAC-5,75917,Ms. Abeera Tariq,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Business Communication (2+1 CH),BBA-4,MAC 6,71316,Ms. Nadia Sayeed,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Advanced Financial reporting        ,BSAF,MAC-7,75817,Dr. Asad Ilyas,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Production and Operations Management,BBA-6,MAC-8,71317,Dr. Muhammad Imran,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate Programs ,,MAS-1,,Reserved for Graduate,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",,,,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate Programs ,,MAS-2,,Reserved for Graduate,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Contemporary Issues in Global Economics,BSECO - 8,MAV-1,75955,Ms. Umema Siddiqi,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Macroeconomic Theory ,BSECO/EM - 4,MAV-2,75959,Dr. Faiz ur Rehman ,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Microeconomic Theory,BSECO/EM - 4,MCC-09,75960,Dr. Amir Jahan Khan,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Business Mathematis & Linear Algebra,BBA-4,MCC-10,71315,Dr. Naveed Ahmad,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Introduction to Testing,BSSS-6/8 ELECTIVE,MCC-11,71199,Dr. Ayesha Zia,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM","Computer Communication & Networking (Lecture) Only Tuesday 
from 10:00 to 11:15 & 11:30 am to 12:45 pm ",BSCS-4,MCC12,75904,Mr. Waseem Arain,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Topics in Medieval Muslim Cult,BSSS-6/8 ELECTIVE,MCC-13,75983,Ms. Seher Ali Shah,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",,,MCC-14,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Computer Communication & Networking ,BSCS-4,MCC-15,75916,Ms.Tasbiha Fatima,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM","Chinese-1(Lab only Tuesday)  
","BSEM-BS-Eco NS
BSCS-4",MCL-1,95985,"Ms. Saher Iqbal
",Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",,,MCL-2,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM","Computer Communication & Networking (Lab) Only Tuesday
from 10:00 to 11:15 am & 11:30 am to 12:45 pm 
Computer Communication & Networking (Lab) Only Thursday 
from 10:00 to 11:15 am & 11:30 am to 12:45 pm ",BSCS-4,MCL-3,"75912
75904","Ms. Asma Tauqeer
Mr. Waseem Arain",Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Entrepreneurship,BBA-6,MCS-3,71319,Ms.Kanza Sohail,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Marketing Issues in Pakistan,BBA-6,MCS-4,71320,Dr. Nida Aslam Khan,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Marketing Issues in Pakistan,BBA-6,MCS-5,71321,Dr. Farah Naz,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate ,,MTC 16,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate Programs,,MTC-17,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Business Communication (2+1 CH),BBA-4,MTC-18,71318,Mr. Sara Mazhar,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Major Issues in Pakistan's Economy,BSECO - 6,MTC-19,75961,Ms. Javeria Younas Abbas,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Advanced Financial reporting,BSAF,MTC-20,75819,Ms. Naveed Bukhari,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Strategic Management (Only for ACF Students),BSAF,MTC-20A,95904,"Shahid Zaki 
",Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Chinese-II(Only Tuesday Lab),BSSS-4,MTC-21,75982,Ms. Madiha Mukhtar,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Analysis of Pakistani Industries,BBA-4,MTC-22,71322,Mr. Masood Siddiqui,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Economics of Education,ECO - Elective,MTC-23,75965,Ms. Shagufta Shabbar,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Taxation,BSAF-4,MTC-24,75820,Mr. Haroon Tabraze,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Management Accounting,"BSAF-4
",MTC 25,75821,"Dr. Sharjeel Hasnie
",Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Behavioral Finance in Theory and Practice,BSAF,MTC-26,75822,"Dr. Fawad Ahmad
",Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Taxation,"BSAF-4
",MTC-27,75823,Ms. Aimen Batool,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Introduction to Artificial Intelligence,BSCS-4,MTC-28,75921,Ms. Sumaira Saeed,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for Graduate , MSCS/DS ,MTC-29,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Financial Management,BBA-4,MTS 6,71314,Ms. Madeeha Omer Lakhani,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Islamic Banking and Finance,BSAF,MTS 7,75824,Dr. Irum Saba,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Reserved for MS marketing,,MTS 8,,,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Computer Architecture and Assembly Language,BSCS-4,MTL-4,75920,Dr. Salman Zafar,Tuesday/Thrusday
"10:00 AM
 to 
11:15 AM",Financial Modeling,FIN-Elective,Finance Lab,75816,Mr. Syed Irfan Ahmed,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",CDC,,,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Design & Analysis of Algorithm
",BSCS-6,AUDITORIUM,96006 - 96038,Dr. Jibran Rashid,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Intro to Media and Culture( Mega),BSSS-4,EVENT HALL,96092/96095,Ms. Rahma Mian,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",,,MAC-1,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Financial Management,BBA-4,MAC-2,71325,Dr. Nauman J. Amin,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Marketing Issues in Pakistan,BBA-6,MAC-3,71333,Dr. Saima Husain,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved,,MAC-4,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Business Intelligence,CS Elective,MAC-5,75922,Ms. Abeera tariq,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Management Accounting
",BSAF-4,MAC 6,75826,Ms. Zaira Aness,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Marketing Issues in Pakistan,BBA-6,MAC-7,71327,Ms. Yasmeen Zafar,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Financial Institutions and Markets,BBA-4,MAC-8,71324,Dr. Azima Khan,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate Programs ,,MAS-1,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate Programs ,,MAS-2,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Macroeconomic Theory ,BSECO/EM - 4,MAV-1,95895,Mr. Adnan Ahmad,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for BBA Course ,BBA,MAV-2,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Microeconomic Theory ,BSECO/EM - 4,MCC-09,75966,Dr. Amir Jahan Khan ,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",,,MCC-10,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Robotics
",CS Elective,MCC-11,75923,Dr. Syed Ali Raza,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Computer Communication & Networking (Lecture) Only Tuesday 
from 10:00 to 11:15 & 11:30 am to 12:45 pm ",BSCS-4,MCC12,75904,Mr. Waseem Arain,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Compiler Construction,CS Elective,MCC-13,96123,Dr. Shahid Hussain,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",,,MCC-14,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Corporate Finance ,FIN/ Elective,MCC-15,75825,Dr. Mohsin Sadaqat,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Computer Communication & Networking (Lab) Only Tuesday 
from 11:30 am to 12:45 pm & 1:00 to 2:15 pm

",BSCS-4,MCL-1,75916,"Ms. Tasbhia Fatima
Mr. Waseem Arain
",Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Robotics Lab Class,CS Elective,MCL-2,75923,Dr. Syed Ali Raza,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Computer Communication & Networking (Lab) Only Tuesday
from 10:00 to 11:15 am & 11:30 am to 12:45 pm
Computer Communication & Networking (Lab) Only Thursday 
from 10:00 to 11:15 am & 11:30 am to 12:45 pm
",BSCS-4 ,MCL-3,"75912
75904","Ms. Asma Tauqeer
Mr. Waseem Arain",Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Entrepreneurship,BBA-6,MCS-3,71330,Ms. Kanza Sohail,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Marketing Issues in Pakistan,BBA-6,MCS-4,71331,Dr. Nida Aslam Khan,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Marketing Issues in Pakistan,BBA-6,MCS-5,71332,Dr. Farah Naz,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTC 16,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate ,,MTC-17,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Business Communication (2+1 CH),BBA-4,MTC-18,71329,Ms. Sara Mazhar,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Major Issues in Pakistan's Economy,BSECO - 6,MTC-19,75967,Ms. Javeria Younas Abbas,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Marketing for Startups,MKT-E,MTC-20,96173,Mr. Kashif Rashid,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Strategic Management (Only for ACF Student),BSAF,MTC-20A,95915,"Shahid Zaki 
",Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Fragments, Footnotes, and other Other Forms in Fiction",BSSS-6/8 ELECTIVE,MTC-21,96082,Ms. Palwashay Sethi,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Optimization Techniques,BSEM - 6,MTC-22,75968,Dr. Nasir Touheed,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Introduction to Social Psychology,BSSS-6 Major Core,MTC-23,77002,Ms.Hajrah Rahman,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Taxation,BSAF-4,MTC-24,96075,Mr. Haroon Tabraze,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Management Accounting,"BSAF-4
",MTC 25,75828,Dr. Sharjeel Hasnie,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",,,MTC-26,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Taxation,"BSAF-4
",MTC-27,75829,Ms. Aiman Batool,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Optimization Techniques,BSEM - 6,MTC-28,96163,Dr. Syed Inayatullah,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for Graduate , MSCS/DS ,MTC-29,,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Financial Management,BBA-4,MTS 6,71326,Ms. Madeeha Omer Lakhani,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Islamic Banking and Finance,BSAF,MTS 7,75830,"Dr. Irum Saba
",Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM",Reserved for MS marketing ,,MTS 8,Reserved for Graduate,,Tuesday/Thrusday
"11:30 AM 
to 
12:45 PM","Computer Architecture and Assembly Language (Lab) Only Tuesday
from 11:30 am to 12:45 pm & 1:00 to 2:15 pm
",BSCS-4,MTL-4,75920,Ms. Mehwish Zafar,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",CDC,,,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",CDC,,AUDITORIUM,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved,,EVENT HALL,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MAC-1,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Financial Management,BBA-4,MAC-2,71335,Dr. Nauman J. Amin,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Mathematical Economics ,BSECO - 4,MAC-3,75969,Dr. Ilfan Oh,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Data Warehousing,CS Elective,MAC-4,96181,Dr. Tariq Mehmood,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",International Trade,BSECO - 6,MAC-5,75970,Dr. Aadil Khoda ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Management Accounting,BSAF-4,MAC 6,75831,Ms. Zaira Anees,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MAC-7,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Financial Institutions and Markets,BBA-4,MAC-8,71334,Dr. Azima Khan,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs ,,MAS-1,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate Programs ,,MAS-2,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Calligraphy Lab (Ms. Seher Ali Shah) Only Thursday,BSSS-6/8 ELECTIVE,MAV-1,,Ms. Seher Ali Shah,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Managerial policy,BBA,MAV-2,71336,Dr. Muhammad Shafique ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MCC-09,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Operations Research - I,BSEM/CS,MCC-10,96178,Ms. Hafsa Ather Jarfee ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM","Caligraphy (Lecture 77004 only Tuesday 1pm to 3:45pm - Lab only Thursday 1:00 pm to 2:15 pm)
(Lecture 96315 only Tuesday 1pm to 3:45pm - Lab only Thursday 2:30pm to 3:45 pm)",BSSS-6/8 ELECTIVE,MCC-11,"77004
96315",Ms. Seher Ali Shah,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",French -II  ,BBA-6,MCC12,71337,Mr. Leroy Johns ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",French -II  ,BBA-6,MCC-13,71338,Ms.Rabesalama & Ms. Fitia Leroy Johns,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MCC-14,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",French -II  (Lab Tuesday Only),BBA-6,MCC-15,71339,"Mr. Leroy Johns & 
Ms. Hira Fahad",Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM","Computer Communication & Networking (Lab) Only Tuesday 
from 11:30 am to 12:45 pm & 1:00 to 2:15
",BSCS-4/ BSCS-3,MCL-1,75916,"Ms. Tasbhia Fatima
",Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Robotics lab Class,CS Elective,MCL-2,75923,Dr. Syed Ali Raza,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MCL-3,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved by SND,,MCS-3,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved by SND,,MCS-4,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved by SND,,MCS-5,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate ,MSCS/DS,MTC 16,,Reserved for Graduate ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate ,,MTC-17,,Reserved for Graduate ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Research Methods in Political Science,BSSS-6 Major Core,MTC-18,77005,Ms. Yumna Fatima,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC-19,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Marketing for Startups,MKT-E,MTC-20,71340,Mr. Kashif Rashid,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC-20A,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",French-II,BSSS-4,MTC-21,90070,"Mr. Hira Fahad & Fitia Rabesalama
Leroy Johns",Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",PRODUCTION & OPERATIONS MANAGEMENT,MKT-E,MTC-22,96175,Dr. Mohammad Imran,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC-23,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Dystopian Fiction: Visions of (Dis)Order,BSSS-6/8 ELECTIVE,MTC-24,96083,Mr. Babur Suri,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC 25,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC-26,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTC-27,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",f,,MTC-28,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Poetry Makes Nothing Happen:  Poetry in the Age of Artifical Intelligence,BSSS-6/8 Elective,MTC-29,96084,Dr. Faisal Nazir,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTS 6,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",,,MTS 7,,,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM",Reserved for Graduate ,,MTS 8,,Reserved for Graduate ,Tuesday/Thrusday
"1:00 PM
 to
 2:15 PM","Computer Architecture and Assembly Language (Lab) Only Tuesday
from 11:30 am to 12:45 pm & 1:00 to 2:15 pm
",BSCS-4,MTL-4,75920,Ms. Mewish Zafar,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Introduction to Political Science (Mega - 2 Sections),BSSS-4,AUDITORIUM,80007/80008,Dr. Laila Farooq,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved,,EVENT HALL,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MAC-1,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Supply Chain Analytics,MGT-E,MAC-2,96129,Dr. Muhammad Imran,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Mathematical Economics ,BSECO - 4,MAC-3,75971,Dr. Ilfan Oh,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Macroeconomic Theory,BSECO - 6,MAC-4,90075,Dr. Tehseen Iqbal ,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",International Trade,BSECO - 6,MAC-5,90078,Dr. Aadil Nakhoda ,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Poverty and Income Distribution,ECO - Elective,MAC 6,90082,Dr. Lubna Naz,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Business Mathematics and Linear Algebra,BBA-4,MAC-7,75339,Mr. Imran Shaheen,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Statistical Inferences ,BSECO - 4,MAC-8,90090,Dr. Syed Akhter Raza,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs ,,MAS-1,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved for Graduate Programs ,,MAS-2,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved for Calligraphy Lab (Ms. Seher Ali Shah) Only Thursday,BSSS-6/8 ELECTIVE,MAV-1,,Ms. Seher Ali Shah,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Stochastic Processes,BSEM - 6,MAV-2,90085,Dr. Muhammad Sheraz,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Introduction to Machine Learning,CS Elective,MCC-09,96040,Ms. Sumaira Saeed,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Arabic -II,BBA-6,MCC-10,75340,Mr. Ubaid-ur-Rehman,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM","Caligraphy (Lecture 77004 only Tuesday 1pm to 3:45pm - Lab only Thursday 1:00 pm to 2:15 pm)
(Lecture 96315 only Tuesday 1pm to 3:45pm - Lab only Thursday 2:30pm to 3:45 pm)",BSSS-6/8 ELECTIVE,MCC-11,"77004
96315",Ms. Seher Ali Shah,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",French -II  (Lab) Tues Only),BBA-6,MCC12,71337,"Mr. Leroy Johns  Ms.Rabesalama
",Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",French -II  (Lab) Tues Only),BBA-6,MCC-13,71338,Ms.Rabesalama & Ms. Fitia Leroy Johns,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",History of Science,BSSS-6/8 ELECTIVE,MCC-14,90010,Dr. Noaman ul Haq,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",French -II  ,BBA-6,MCC-15,71339,"Mr. Leroy Johns & 
Ms. Hira Fahad",Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MCL-1,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MCL-2,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MCL-3,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved by SND,,MCS-3,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Parallel & Distributed Computing ,BSCS-6,MCS-4,96003,Mr. M. Zain Uddin,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Design Thinking and Innovation,MGT-E,MCS-5,78418,Dr. Muhammad Kamran Mumtaz,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM","Institutions and Development
Tuesday and Thursday from 2:30pm to 4:30pm",MS Economics,MTC 16,,Dr. Faiz Ur Rehman,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Reserved for Graduate ,,MTC-17,,Reserved for Graduate ,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM","Political violence, civil war and terrorism",BSSS-6/8ELECTIVE,MTC-18,95978,Ms. Yumna Fatima,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-19,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-20,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-20A,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Arabic 2,,MTC-21,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-22,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-23,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-24,75353,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC 25,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-26,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-27,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Computer Architecture and Assembly Language ,BSCS-4,MTC-28,95912,Dr. Salman Zafar,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",,,MTC-29,,,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Financial Management,BBA-4,MTS 6,75338,Ms. Madeeha Omer Lakhani,Tuesday/Thrusday
"2:30 PM
to 
3:45 PM",Arabic-II,All programs,MTS 7,96167,TBA,Tuesday/Thrusday
